ATC1;Name1;ATC2;Name2;Mec_Detail;Eff_Detail;Kli_Detail;Grad;Pmids
C02KX01;Bosentan;G04BE08;Tadalafil;Bosentan ist ein Induktor von CYP3A4 [PMID:12713683] und beschleunigt darüber den Abbau von Tadalafil.;Bei gleichzeitiger Behandlung mit Arzneistoffen, die CYP3A4 induzieren, wie Bosentan, kann die Wirksamkeit der Phosphodiesterase-5-Hemmer beeinträchtigt sein. Bosentan verminderte die AUC von Tadalafil um 40% [PMID:18305126]. Die Plasmakonzentrationen von Bosentan wurden zu kleiner 20% und nicht klinisch relevant beeinflusst.;Bei Komedikation mit CYP3A4-Induktoren muss mit verringerter Wirksamkeit von Tadalafil gerechnet werden. Die Wirksamkeit soll sorgfältig überwacht und gegebenenfalls durch Dosisanpassungen sichergestellt werden.;C;18305126,20606131,12713683
C07AB02;Metoprolol;C10AA07;Rosuvastatin;Keine Interaktion. Metoprolol wird über CYP2D6 metabolisiert, Rosuvastatin zu kleiner 10% über CYP2C9.;Die Kombination aus Rosuvastatin und Metoprolol ist Standard in der Behandlung kardiovaskulärer Erkrankungen. Es ist keine klinisch relevante Interaktion bekannt und zu erwarten.;Keine spezifischen Massnahmen erforderlich.;A;
J02AC03;Voriconazol;B01AA04;Phenprocoumon;Voriconazol führt durch Inhibition von CYP2C9 und CYP3A4 zu erhöhten Plasmakonzentrationen von Phenprocoumon.;Die Kombination von Phenprocoumon mit Voriconazol führt zu erhöhten Phenprocoumon-Konzentrationen. Dadurch wird die antikoagulatorische Wirkung verstärkt, und es können vermehrt Blutungskomplikationen auftreten. Dies wurde für die Kombination von Warfarin mit Voriconazol gezeigt [PMID:14616410][Pharmacode:2594340].;Bei der Kombination muss der INR engmaschig kontrolliert werden, insbesondere zu Beginn, bei Dosisänderung oder Absetzen der Azoltherapie. Bei Bedarf Dosis von Phenprocoumon anpassen.;C;14616410
C07AB02;Metoprolol;C10AA05;Atorvastatin;Keine Interaktion. Metoprolol wird über CYP2D6 metabolisiert, Atorvastatin über CYP3A4.;Die Kombination aus Atorvastatin und Metoprolol ist Standard in der Behandlung kardiovaskulärer Erkrankungen. Es ist keine klinisch relevante Interaktion bekannt und zu erwarten.;Keine spezifischen Massnahmen erforderlich.;A;
M01AC05;Lornoxicam;B01AA07;Acenocoumarol;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung. [Pharmacode:2592849];Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit Antikoagulantien vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patienten insbesondere auf Symptome einer gastrointestinalen Blutung überwachen und Blutgerinnungsparameter engmaschig monitorisieren. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide.;D;5425364,8672833,10027662
M01AB01;Indometacin;B01AB04;Dalteparin;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung. [PMID:5425364][PMID:10493218];Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit therapeutischen Dosierungen von Heparinen vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patienten insbesondere auf Symptome einer gastrointestinalen Blutung überwachen. Das veränderte Blutungsrisiko wird nicht in einem veränderten INR abgebildet. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide. Bei prophylaktischen Dosierungen der Heparine wird die Interaktion als geringfügig eingestuft.;D;5425364,10493218
J02AC03;Voriconazol;G04BE03;Sildenafil;Voriconazol ist ein starker Hemmer von CYP3A4 und kann so den Metabolismus von Sildenafil vermindern, wodurch die Sildenafil-Plasmakonzentration ansteigen kann.;Die Kombination von Sildenafil und Voriconazol führt zu erhöhten Sildenafil-Konzentrationen mit erhöhtem Risiko länger anhaltender Sildenafil-Nebenwirkungen (u.a. Kopfschmerz, Flushing, Priapismus).;Die Kombination von Sildenafil mit potenten CYP3A4-Hemmern sollte vermieden werden. Falls die Kombination erforderlich ist, sollte eine Startdosis von 25 mg Sildenafil verabreicht werden. Patient auf unerwünschte Wirkungen von Sildenafil (u.a. Hypotension, Sehstörungen, Priapismus) monitorisieren.;D;20606131,11879259
A02BC03;Lansoprazol;J02AB02;Ketoconazol;Lansoprazol hemmt die Magensäuresekretion langanhaltend und extensiv. Die gastrointestinale Absorption von Ketoconazol wird durch die verminderte Azidität beeinträchtigt, was zu einer Reduktion der Bioverfügbarkeit führt [PMID:16944963].;Bei der Kombination von oralen Antimykotika und Protonenpumpenblockern kann eine verminderte antimykotische Wirksamkeit nicht ausgeschlossen werden. Therapieversager können vorkommen.;Bei gleichzeitiger Therapie mit einem Protonenpumpenhemmer sollte die Ketoconazol-Kapsel zusammmen mit einem Cola-Getränk eingenommen werden, da dadurch die Resorption um ca. 65% erhöht werden kann [PMID:7486898]. Zusätzlich Ketoconazolkonzentrationen monitorisieren.;C;20608754,7486898
J02AC02;Itraconazol;G04BE03;Sildenafil;Itraconazol hemmt CYP3A4, welches den Hauptweg des Sildenafil-Metabolismus darstellt. Dadurch steigt die Sildenafil-Plasmakonzentration an.;Die Kombination von Sildenafil und Itraconazol führt zu erhöhten Sildenafil-Konzentrationen mit erhöhtem Risiko stärkerer und länger anhaltender Sildenafil-Nebenwirkungen (u.a. Kopfschmerz, Flushing, Priapismus) [Pharmacode:3449485].;Die Kombination von Sildenafil mit potenten CYP3A4-Hemmern sollte vermieden werden. Falls die Kombination erforderlich ist, sollte eine Startdosis von 25 mg Sildenafil verabreicht werden. Patient auf unerwünschte Wirkungen von Sildenafil (u.a. Hypotension, Sehstörungen, Priapismus) monitorisieren.;D;20606131,11879259
L01XE01;Imatinib;B01AA07;Acenocoumarol;Imatinib ist ein moderater Hemmer von CYP2C9 und CYP3A4 und kann darüber die Acenocoumarolkonzentrationen erhöhen [Pharmacode:2707904].;Die Kombination aus Imatinib und Warfarin führte zu einer Verlängerung der Prothrombinzeit [Pharmacode:2707904]. Auch ein Anstieg der Acenocoumarol-Konzentrationen und eine verstärkte antikoagulatorische Wirkung können in der Kombination mit Imatinib auftreten.;Bei der Kombination sollte der INR engmaschig kontrolliert werden, insbesondere zu Beginn, bei Dosisänderung oder Absetzen von Imatinib. Bei Bedarf Dosis von Acenocoumarol anpassen.;C;20356624
N06AX21;Duloxetin;N06AA09;Amitriptylin;Duloxetin hemmt CYP2D6 mässig und damit auch den Metabolismus von Amitriptylin.[Pharmacode:3082866];Die AUC von Desipramin erhöhte sich unter Duloxetin auf das Dreifache, ähnliches gilt wohl auch für Amitriptylin.[Pharmacode:3082866] Dadurch steigt das Risiko für eine toxische Wirkung. Mögliche Folgen: Anticholinerge Effekte, Sedation, Verwirrtheit und kardiale Arrhythmien.;Die Kombination von Trizyklika und Duloxetin wenn möglich meiden. Ist die kombinierte Gabe unumgänglich, müssen die Plasmaspiegel des Trizyklikums engmaschig monitorisiert und die Dosis bei Bedarf angepasst werden. Zusätzlich klinisches Monitoring auf mögliche Toxizität der Trizyklika.;D;
M01AE02;Naproxen;B01AB04;Dalteparin;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung. [PMID:5425364][PMID:10493218] Naproxen scheint aber eines der sichereren NSAIDs zu sein. [PMID:758244 ][PMID:758243];Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit therapeutischen Dosierungen von Heparinen vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patienten insbesondere auf Symptome einer gastrointestinalen Blutung überwachen. Das veränderte Blutungsrisiko wird nicht in einem veränderten INR abgebildet. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide. Bei prophylaktischen Dosierungen der Heparine wird die Interaktion als geringfügig eingestuft.;D;5425364,8672833,10493220
J02AC04;Posaconazol;C01BD07;Dronedaron;Posaconazol ist ein starker Hemmer von CYP3A4 [PMID:19302901]. Dronedaron wird hauptsächlich über CYP3A4 metabolisiert.;Durch den gehemmten Metabolismus kann es zu erhöhten Dronedaronkonzentrationen und damit zu einer verstärkten Wirksamkeit kommen. Mögliche Folgen sind: Herzrhythmusstörungen inkl. QT-Zeit-Verlängerung und Blutdruckabfall [Pharmacode:4359732].;Die Kombination von Dronedaron und starken CYP-3A4-Inhibitoren ist kontraindiziert [Pharmacode:4359732].;X;19302901
N05AD05;Pipamperon;N04BA01;Levodopa;Pipamperon ist ein Dopamin-Rezeptor-Antagonist mit starker D2-Rezeptor-Affinität und antagonisiert die Wirkung von Levodopa.;Die Wechselwirkung zwischen Pipamperon und Levodopa wurde in Studien nicht untersucht. Jedoch ist davon auszugehen, dass durch die Antagonisierung der Dopamin-D2-Rezeptoren die Wirkung von Levodopa reduziert wird, was zu einer Verschlechterung der Parkinson-Symptome führen kann.;Die Kombination sollte aufgrund des möglichen Wirksamkeitsverlustes von Levodopa vermieden werden. Pipamperon ist gemäss Fachinformation beim Parkinson-Syndrom kontraindiziert.;D;
N06AXa0;Johanniskraut;G02BA03;Plastik-IUP mit Progesteron;Johanniskraut induziert verschiedene CYP-Enzyme, unter anderem CYP3A4 und damit auch den Metabolismus von hormonalen Kontrazeptiva [PMID:12235448]. Daneben induziert es das Transportprotein P-Glycoprotein im Darm [PMID:11849198], wodurch die orale Bioverfügbarkeit der Kontrazeptiva reduziert wird.;Bei lokal wirkenden Levonorgestrel-haltigen Systemen (Intrauterinsystem, IUS) wird die Interaktion mit Enzyminduktoren als wenig relevant eingeschätzt [PMID:16981856] [PMID:18178110]. Eine einzelne Fragebogenerhebung bei 56 Frauen [PMID:12396777] weist darauf hin, dass das Schwangerschaftsrisiko im Vergleich zu Anwenderinnen von Levonorgestrel-haltigen IUS, welche keine Enzyminduktoren einnehmen, nur gering erhöht ist. Der Hersteller von Mirena gibt an, dass aufgrund der primär lokalen Wirkung von Levonorgestrel der Einfluss von Enzyminduktoren auf die Wirksamkeit als nicht klinisch relevant eingeschätzt wird. Es fehlen allerdings Studien, die die Sicherheit der Kombination mit Enzyminduktoren belegen.;Anwendung mit Vorsicht (z.B. Achten auf Neuauftreten von Zwischenblutungen). Das US-amerikanisches Centers for Disease Control and Prevention (2010) und die britische FFPRHC (Faculty of Sexual & Reproductive Healthcare, 2010) empfehlen keine spezifischen Vorsichtsmassnahmen bei der Kombination von Enzyminduktoren mit Levonorgestrel-haltigen Intrauterinsystemen.;B;12235448,14616430,14663455,15914127,11849198,12534648,16981856,18178110,12396777
J04AB02;Rifampicin;J04AK01;Pyrazinamid;Beide Substanzen können hepatotoxisch sein.[PMID:9213916];Durch die additiven Wirkungen besteht ein erhöhtes Risiko für das Auftreten einer Hepatotoxizität.[PMID:9213916] Trotzdem wird diese Kombination als Standardtherapie eingesetzt.;ALT und Bilirubin monitorisieren, bei Erhöhung der ALT über das 5fache oder einer Erhöhung über das 3fache plus eine Bilirubinerhöhung oder bei symptomatischer Hepatopathie, sollte die Pyrazinamidtherapie abgesetzt werden. Es sollten keine weiteren hepatotoxischen Substanzen wie Paracetamol oder Alkohol eingenommen werden.;C;7489806,17021358,9213916
J02AC01;Fluconazol;G04BE03;Sildenafil;Fluconazol ist ein moderater, dosisabhängiger Inhibitor von CYP3A4 und kann darüber den Abbau von Sildenafil hemmen. Zwar hemmt Fluconazol CYP2C9 stark, dies scheint aber in vivo nicht relevant am Metabolismus von Sildenafil beteiligt zu sein [PMID:16198665];Die Kombination von Sildenafil und Fluconazol kann potentiell zu erhöhten Sildenafil-Konzentrationen führen mit erhöhtem Risiko länger anhaltender Sildenafil-Nebenwirkungen (Kopfschmerz, Flushing, Priapismus) [Pharmacode:3449485].;In der Kombination mit Fluconazol sollte eine niedrige Startdosis von Sildenafil gewählt werden (25 mg) [Pharmacode:3449485]. Patient hinsichtlich Sildenafil-Nebenwirkungen monitorisieren.;C;16198665,11298070,18997493,11879259
N05AA02;Levomepromazin;N04BA01;Levodopa;Das zu den Phenothiazinen gehörende Levomepromazin ist unter anderem ein Dopamin-Rezeptor-Antagonist mit starker D2-Rezeptor-Affinität und antagonisiert dadurch die Wirkung von Dopamin.;Durch die Antagonisierung der Dopamin-D2-Rezeptoren wird die Wirkung von Levodopa reduziert, was zu einer Verschlechterung der Parkinson-Symptome führen kann. Laut Fachinformation besteht jedoch die Möglichkeit Parkinson-Patienten, die unter Levodopa-Therapie sind, mit vorsichtigen Dosen von Levomepromazin zu behandeln.;Kombination meiden. Falls diese zwingend erforderlich ist, Patienten sorgfältig auf Verschlechterung der Parkinson-Symptome überwachen und Dosisanpassung von Levodopa in Erwägung ziehen.;D;
A04AA01;Ondansetron;G04CA01;Alfuzosin;Additive Verlängerung der QT-Zeit;Vor allem nach intravenöser Verabreichung von Ondansetron wurde selten eine Verlängerung des QT-Intervalls beobachtet [PMID:18648229]. Auch Alfuzosin kann bei hoher Dosis die QT-Zeit verlängern [PMID:15903123]. Durch die additive Verlängerung der QT-Zeit erhöht sich das Risiko für das Auftreten von kardialen unerwünschten Wirkungen wie Arrhythmien, Torsades de pointes oder Herzstillstand.;EKG-Kontrollen der QT-Zeit, insbesondere bei Änderungen der medikamentösen Therapie/Dosis, bei iv-Applikation von Ondansetron und bei Risikofaktoren für Arrhythmien (z.B. Elektrolytstörungen wie Hypokaliämie, Schilddrüsenfunktionsstörungen).;C;18648229,15915019,11994029,15903123
J01FA01;Erythromycin;G04BE03;Sildenafil;Erythromycin hemmt CYP3A4, welches den Hauptweg des Sildenafil-Metabolismus darstellt. Dadurch steigt die Sildenafil-Plasmakonzentration an [PMID:20606131].;Erythromycin erhöht die maximalen Plasmakonzentrationen von Sildenafil (Cmax) um das 2.6-fache und die AUC um das 2.8-fache [PMID:11879258]. Damit erhöht sich das Risiko für unerwünschte Sildenafil-Wirkungen wie Priapismus, Hypotension, Synkope und Sehstörungen.;Die Kombination von Sildenafil mit potenten CYP3A4-Hemmern sollte vermieden werden. Falls die Kombination erforderlich ist, sollte eine Startdosis von 25 mg Sildenafil verabreicht werden. Patient auf unerwünschte Wirkungen von Sildenafil (u.a. Hypotension, Sehstörungen, Priapismus) monitorisieren.;D;20606131,11879258
N06AG02;Moclobemid;N06AB04;Citalopram;Sowohl MAO-Hemmer als auch Citalopram wirken auf das Serotoninsystem.;Durch die additive Wirkung auf das serotonerge System im ZNS erhöht sich die Gefahr einer ZNS-Toxizität und das Risiko eines Serotonin-Syndroms erhöht sich. Mögliche Symptome: Verwirrtheit, Erregung, Angst, Schwitzen, Hyperthermie, Diarrhoe, Übelkeit, Blutdruckschwankungen, Hyperreflexie, Tremor, Ataxie, Myoklonien, Nystagmus. Falls das Syndrom nicht erkannt wird, kann dies zum Tode führen. [PMID:2035713];Die Kombination von MAO-Hemmern und serotonergen Psychopharmaka ist kontraindiziert. Eine Therapie mit Citalopram sollte frühestens 24h nach Absetzen von Moclobemid begonnen werden. Moclobemid sollte erst 14 Tage nach Absetzen von Citalopram eingesetzt werden.;X;2035713,7901695
J01FA06;Roxithromycin;C10AA01;Simvastatin;Roxithromycin ist ein schwacher Hemmer von CYP3A4 [PMID:8959645][PMID:9806945][PMID:16416302] und hemmt die Transportproteine OATP1B1 und OATP1B3 in der Leber [PMID:17296622]. Ein gewisser Einfluss auf den Metabolismus von Simvastatin ist vorstellbar.;Bis jetzt ist erst ein Fall einer möglichen Interaktion zwischen Simvastatin und Roxithromycin dokumentiert [PMID:12380704]. Eine 73-jährige Patientin entwickelte eine Rhabdomyolyse, nachdem Roxithromycin zu ihrer bisherigen Therapie bestehend aus u.a. Simvastatin, Gemfibrozil und Diltiazem hinzugefügt wurde.;Bei der Kombination sollte insbesondere bei Risikofaktoren, die für eine Statin-assoziierte Myopathie prädisponieren (z.B. Niereninsuffizienz, hohe Statindosis), sicherheitshalber klinisch auf Zeichen einer Muskeltoxizität geachtet werden.;B;12380704,8959645,9806945,16416302,17296622
J05AE10;Darunavir;C10AA03;Pravastatin;Darunavir hemmt die Aktivität von CYP3A4. Pravastatin wird zwar nicht signifikant über dieses Enzym metabolisiert, dennoch wurde im Mittel eine 81%ige AUC-Erhöhung bei der Kombination mit Darunavir/Ritonavir gemessen. Bei einzelnen Patienten stieg die AUC von Pravastatin sogar bis zu 5fach an. Der Mechanismus dieser Interaktion ist unklar [Pharmacode: 4372307][Pharmacode: 2123184].;Aufgrund der erhöhten Serumkonzentration von Pravastatin besteht ein erhöhtes Risiko für Myopathie und Rhabdomyolyse [Pharmacode: 2123184].;Bei der gleichzeitigen Verabreichung von Darunavir und Pravastatin sollten eine niedrige Pravastatin-Startdosis gewählt (z.B. 10 mg/d) und auf Zeichen der Myopathie und Rhabdomyolyse, wie Muskelschwäche,  Muskelschmerzen, verfärbter Urin und CK-Erhöhung geachtet werden.;C;
N03AB02;Phenytoin;N02AB03;Fentanyl;Phenytoin induziert diverse Cytochrom-P-450-Enzyme stark, u.a. auch CYP3A4 und damit den Metabolismus von Fentanyl [Pharmacode:2986353].;Mit dem Enzyminduktor Rifampicin konnten erniedrigte Fentanylspiegel und eine verminderte Wirkung der analgetischen Therapie gezeigt werden [PMID:17196900]. Ähnliches gilt wohl für den Induktor Phenytoin.;Für eine genügende Analgesie kann eine erhöhte Fentanyldosis nötig sein. Analgetische Wirksamkeit klinisch monitorisieren.;C;17196900
N05AD05;Pipamperon;J01MA01;Ofloxacin;Additive Verlängerung der QT-Zeit;Durch die additive Verlängerung der QT-Zeit erhöht sich die Wahrscheinlichkeit für das Auftreten von kardialen unerwünschten Wirkungen wie Arrhythmien, Torsades de pointes oder Herzstillstand.;Regelmässige EKG-Kontrollen der QT-Zeit, insbesondere bei Änderungen der medikamentösen Therapie. Von den Chinolonen scheint Ciprofloxacin das kleinste Risiko für Torsades des Pointes zu haben [PMID:17241772].;C;9618739,17388916,17241772
M01AC05;Lornoxicam;B01AX06;Rivaroxaban;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung.[Pharmacode:2592849];Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit Antikoagulantien vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patient insbesondere auf Symptome einer gastrointestinalen  Blutung überwachen. Mit dem NSAID Naproxen konnte zwar keine klinisch relevante Interaktion nachgewiesen werden [PMID:17100983], sicherheitshalber sollte der INR aber regelmässig kontrolliert werden. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide.;D;17100983
J01FA10;Azithromycin;C10AA07;Rosuvastatin;Azithromycin hemmt CYP3A4 nur sehr gering und Rosuvastatin wird nicht über CYP3A4 metabolisiert. Damit kein Einfluss auf den Metabolismus.;Keine klinisch relevante Interaktion bekannt.;Keine Massnahmen nötig.;A;
M01AE02;Naproxen;B01AX06;Rivaroxaban;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung.;Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit Antikoagulantien vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patient insbesondere auf Symptome einer gastrointestinalen  Blutung überwachen. Mit Naproxen konnte zwar keine klinisch relevante Interaktion nachgewiesen werden [PMID:17100983], sicherheitshalber sollte der INR aber regelmässig kontrolliert werden. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide.;D;17100983
C10AA01;Simvastatin;C10AD02;Nicotinsäure;Unklar, wahrscheinlich additives Risiko für Myopathie;Das Risiko für Myopathien und Rhabdomyolyse ist bei dieser Kombination erhöht.;Die Kombination von Nicotinsäure und HMG-CoA-Reduktase-Hemmern sollte nur vorsichtig angewendet werden. Der Patient muss klinisch auf Symptome wie Muskelschwäche und Muskelschmerzen monitorisiert werden. CK-Spiegel regelmässig bestimmen. Bei Verdacht auf Rhabdomyolyse Medikamente absetzen.;D;
M01AC01;Piroxicam;B01AA04;Phenprocoumon;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung. [PMID:4028961] Zusätzlich verändert Piroxicam den Metabolismus von Phenprocoumon.[PMID:8799517];Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit Antikoagulantien vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patient insbesondere auf Symptome einer gastrointestinalen  Blutung überwachen. Das veränderte Blutungsrisiko wird nicht in einem veränderten INR abgebildet. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide.;D;5425364,8672833,4028961,6123039,
J01FA10;Azithromycin;C10AA01;Simvastatin;Azithromycin hemmt CYP3A4 sehr gering. Damit ist auch nur ein sehr geringer Einfluss auf den Metabolismus von Simvastatin zu erwarten.;Es existieren nur einige wenige Spontanmeldungen zu Rhabdomyolysen unter Azithromycin in Kombination mit Simvastatin [PMID:19740401].;Trotz der sehr geringen Wahrscheinlichkeit einer Rhabdomyolyse vorsichtshalber auf klinische Zeichen einer Muskeltoxizität achten.;B;19740401
L01XE08;Nilotinib;A04AA01;Ondansetron;Additive Verlängerung der QT-Zeit;Vor allem nach intravenöser Verabreichung von Ondansetron wurde selten eine Verlängerung des QT-Intervalls beobachtet [PMID:18648229]. Bei gesunden Probanden verlängerte Nilotinib die QT-Zeit um im Mittel 7msec [Pharmacode:3522130]. Durch die additive Verlängerung der QT-Zeit erhöht sich das Risiko für das Auftreten von kardialen unerwünschten Wirkungen wie Arrhythmien, Torsades de pointes oder Herzstillstand.;EKG-Kontrollen der QT-Zeit, insbesondere bei Änderungen der medikamentösen Therapie/Dosis, bei iv-Applikation von Ondansetron und bei Risikofaktoren für Arrhythmien (z.B. Elektrolytstörungen wie Hypokaliämie, Schilddrüsenfunktionsstörungen).;C;18648229,15915019,11994029
J01FA01;Erythromycin;C01AA05;Digoxin;Mehrere Mechanismen beteiligt: Erythromycin hemmt das intestinale und renale MDR1 (P-Glykoprotein). Dadurch wird einerseits die Bioverfügbarkeit von Digoxin erhöht und andererseits die renale Clearance vermindert [PMID:2497912]. Zusätzlich reduziert Erythromycin die Besiedelung des Darmes mit Eubacterium lentum, welches in 10% der Patienten [PMID:9296249] für die Spaltung des Digoxins zu inaktiven Reduktionsprodukten verantwortlich ist [PMID:7266632][PMID:2800579], so dass das aktive Digoxin stärker absorbiert wird.;Durch die verminderte Elimination und die verstärkte Absorption des Digoxin besteht die Gefahr einer Digoxin-Intoxikation mit den möglichen Symptomen Nausea, Erbrechen, Arrhythmien.;Die Kombination von Digoxin mit oralen Makroliden sollte vermieden werden. Falls die Kombination unumgänglich ist, sollte Erythromycin vorübergehend parenteral verabreicht [PMID:12362931] oder eine Digoxindosisreduktion erwogen werden. Digoxinspiegel engmaschig monitorisieren.;D;2497912,9296249,2800579
